   BENCHMARK INFORMATION
benchmark definition:    /u/wel2vw/cpa-bmc.xml
name:                    cpa-bmc
run sets:                sv-comp18
date:                    Wed, 2021-09-22 15:55:00 EDT
tool:                    CPAchecker 1.9
tool executable:         ./cpa.sh
options:                 -bmc -heap 10000M -benchmark -timelimit 900s
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    doppio01
os:                      Linux-3.10.0-1127.el7.x86_64-x86_64-with-glibc2.17
cpu:                     Intel Xeon Gold 6130 CPU @ 2.10GHz
- cores:                 64
- max frequency:         3700.0 MHz
- turbo boost enabled:   True
ram:                     134655.91398399998 MB
------------------------------------------------------------



sv-comp18
Run set 1 of 1 with options '-bmc -heap 10000M -benchmark -timelimit 900s' and propertyfile 'None'

inputfile                                                                                                                                                                                                        status                    cpu time   wall time        host
reducercommutativity/sep60_true-unreach-call.i                                                                                                                                                                   unknown                       3.57        1.35        None
reducercommutativity/sep_true-unreach-call_true-termination.i                                                                                                                                                    unknown                       3.97        1.40        None
reducercommutativity/sum05_true-unreach-call_true-termination.i                                                                                                                                                  unknown                       3.67        1.36        None
reducercommutativity/sum10_true-unreach-call_true-termination.i                                                                                                                                                  unknown                       3.90        1.50        None
reducercommutativity/sum20_true-unreach-call.i                                                                                                                                                                   unknown                       3.91        1.43        None
reducercommutativity/sum40_true-unreach-call.i                                                                                                                                                                   unknown                       3.74        1.36        None
reducercommutativity/sum60_true-unreach-call.i                                                                                                                                                                   unknown                       3.76        1.37        None
reducercommutativity/sum_true-unreach-call_true-termination.i                                                                                                                                                    unknown                       4.06        1.53        None
array-tiling/mlceu_false-unreach-call.i                                                                                                                                                                          unknown                       3.80        1.39        None
array-tiling/skippedu_false-unreach-call.i                                                                                                                                                                       unknown                       4.06        1.57        None
array-tiling/mbpr2_true-unreach-call.i                                                                                                                                                                           unknown                       3.93        1.41        None
array-tiling/mbpr3_true-unreach-call.i                                                                                                                                                                           unknown                       4.24        1.57        None
array-tiling/mbpr4_true-unreach-call.i                                                                                                                                                                           unknown                       4.16        1.51        None
array-tiling/mbpr5_true-unreach-call.i                                                                                                                                                                           unknown                       4.14        1.57        None
array-tiling/nr2_true-unreach-call.i                                                                                                                                                                             unknown                       4.00        1.41        None
array-tiling/nr3_true-unreach-call.i                                                                                                                                                                             unknown                       3.86        1.45        None
array-tiling/nr4_true-unreach-call.i                                                                                                                                                                             unknown                       4.00        1.47        None
array-tiling/nr5_true-unreach-call.i                                                                                                                                                                             unknown                       3.99        1.48        None
array-tiling/pnr2_true-unreach-call.i                                                                                                                                                                            unknown                       3.79        1.40        None
array-tiling/pnr3_true-unreach-call.i                                                                                                                                                                            unknown                       4.03        1.52        None
array-tiling/pnr4_true-unreach-call.i                                                                                                                                                                            unknown                       4.00        1.49        None
array-tiling/pnr5_true-unreach-call.i                                                                                                                                                                            unknown                       4.10        1.52        None
array-tiling/poly1_true-unreach-call.i                                                                                                                                                                           unknown                       3.98        1.46        None
array-tiling/poly2_true-unreach-call.i                                                                                                                                                                           unknown                       3.81        1.46        None
array-tiling/pr2_true-unreach-call.i                                                                                                                                                                             unknown                       3.86        1.40        None
array-tiling/pr3_true-unreach-call.i                                                                                                                                                                             unknown                       4.17        1.59        None
array-tiling/pr4_true-unreach-call.i                                                                                                                                                                             unknown                       3.98        1.46        None
array-tiling/pr5_true-unreach-call.i                                                                                                                                                                             unknown                       4.24        1.59        None
